"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-21","59","81","38"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-22","61","83","40"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-23","64","83","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-24","66","86","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-25","65","89","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-26","65","89","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-27","66","87","52"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-28","66","86","52"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-29","63","79","51"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-30","69","83","51"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-10-31","68","84","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-01","67","84","54"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-02","69","84","54"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-03","67","84","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-04","68","81","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-05","74",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-06","69","86","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-07","72","78","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-08","74",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-09","74","79","68"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-10","70","79","66"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-11","68","80","63"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-12","65","80","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-13","67","80","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-14","65","73","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-15","57","73","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-16","54","73","40"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-17","54",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-20","73",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-22","44","65","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-23","45","65","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-24","47","69","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-25","53","76","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-26","62",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-27","52","71","45"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-28","65","72","45"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-29","49",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-11-30","38","57","25"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-01","40",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-02","39","60","27"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-03","35","58","27"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-04","36","59","21"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-05","54",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-06","40",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-07","37","59","25"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-08","44","66","25"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-09","58",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-10","67",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-11","59","73","40"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-12","41","67","30"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-13","44","65","30"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-14","55","66","30"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-15","57","66","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-16","55","72","45"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-17","57","78","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-18","61","78","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-19","56","75","46"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-20","46","63","32"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-21","40","63","27"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-22","37","55","24"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-23","38","56","24"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-24","41","61","25"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-25","42","64","27"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-26","48","64","27"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-27","53","59","40"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-28","61","65","49"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-29","64","70","53"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-30","51","71","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2024-12-31","58","75","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-01","49",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-02","40","60","25"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-03","41",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-04","41","62","25"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-05","39","56","26"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-06","52",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-07","36",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-08","33","47","22"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-09","32","49","18"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-10","37","49","18"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-11","40","47","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-12","33","52","20"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-13","44",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-14","38","56","26"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-15","40","60","26"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-16","42","62","26"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-17","42","65","24"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-18","53",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-19","53","63","38"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-20","31",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-21","27","38","21"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-22","24","39","9"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-23","31",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-24","32","52","18"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-25","33","55","17"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-26","40","64","17"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-27","51",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-28","46",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-29","47","69","31"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-30","54","76","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-01-31","62",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-01","54","71","39"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-02","50","73","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-03","52","78","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-04","60","79","43"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-05","63","80","43"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-06","66","80","49"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-07","67","79","54"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-08","68",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-09","71","81","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-10","64","79","57"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-11","60","72","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-12","55","65","47"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-13","64","72","47"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-14","51","72","35"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-15","58","69","35"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-16","62","70","52"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-17","42","70","29"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-18","42",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-19","45","60","27"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-20","38",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-21","34","51","24"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-22","41","61","24"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-23","45","61","26"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-24","53","69","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-25","56",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-26","56","81","36"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-27","58","81","36"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-02-28","55",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-01","56",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-02","52","80","31"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-03","46",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-04","55","78","31"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-05","61",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-06","51","71","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-07","50","72","34"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-08","62","80","34"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-09","56",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-10","53",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-11","52","77","34"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-12","57","79","34"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-13","59","79","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-14","64","78","46"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-15","68",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-16","71","83","52"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-17","56","77","42"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-18","54",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-19","59",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-20","62","84","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-21","50","68","34"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-22","53","76","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-23","59","79","33"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-24","62",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-25","60","80","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-26","61",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-27","58","81","41"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-28","65","84","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-29","67","84","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-30","65","79","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-03-31","69","74","55"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-01","66",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-02","73","90","54"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-03","75","90","59"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-04","74","89","61"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-05","74","89","61"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-06","72","88","61"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-07","68",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-08","56","73","42"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-09","55","72","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-10","59","79","37"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-11","61","79","41"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-12","57","71","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-13","56","76","39"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-14","63","85","39"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-15","68",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-16","57",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-17","61","82","38"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-18","66","87","44"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-19","70","88","45"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-20","71","88","53"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-21","71","86","57"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-22","69","86","57"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-23","71",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-24","73","88","61"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-25","73","88","62"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-26","74","88","62"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-27","74",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-28","72","89","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-29","72","85","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-04-30","73","89","59"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-01","76","89","59"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-02","74",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-03","68","89","57"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-04","66",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-05","63","77","48"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-06","62","81","48"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-07","70","82","50"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-08","76","89","63"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-09","75","89","64"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-10","69","86","65"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-11","68","75","64"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-12","73","83","65"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-13","68",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-14","73","87","58"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-15","78","90","68"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-16","81","93","68"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-17","76","93","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-18","75",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-19","77",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-20","78","91","67"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-21","81","91","68"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-22","71","90","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-23","75","90","56"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-24","74","91","62"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-25","78","90","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-26","78","90","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-27","75","91","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-28","75",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-29","73","88","67"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-30","72","85","65"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-05-31","69","85","58"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-01","72","84","58"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-02","71",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-03","74","89","59"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-04","76","89","60"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-05","78","89","67"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-06","79","93","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-07","83","93","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-08","77","93","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-09","78","88","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-10","78","89","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-11","76",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-12","78","90","66"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-13","80","92","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-14","78",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-15","80","92","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-16","79",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-17","83","90","75"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-18","78",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-19","76",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-20","79",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-23","88","96","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-24","82","98","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-25","84","98","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-26","76",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-27","78",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-28","79","93","66"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-29","78","92","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-06-30","79","93","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-01","79","93","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-02","78",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-03","81",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-04","82","96","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-05","82","96","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-06","81","96","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-07","83","97","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-08","81","97","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-09","84","97","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-10","84",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-11","80","96","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-12","81","95","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-13","84","98","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-14","84","99","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-15","83","101","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-16","80","101","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-17","80","90","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-18","80","94","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-19","82","95","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-20","84","96","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-21","86","99","74"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-22","85",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-23","81","100","75"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-24","82","92","75"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-25","80","94","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-26","80","94","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-27","84","96","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-28","85","98","72"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-29","87","100","78"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-30","84","100","76"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-07-31","84","96","74"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-01","81","96","74"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-02","80","92","74"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-03","76",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-04","70","87","67"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-05","75","87","67"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-06","76","89","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-07","77","89","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-08","76","85","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-09","78","88","69"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-10","79","88","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-11","81","91","74"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-12","82",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-13","79","91","74"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-14","81",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-15","82","94","75"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-16","80",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-17","81","95","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-18","83","96","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-19","81",,
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-20","79","94","70"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-21","80","94","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-22","79","94","71"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-23","78","90","73"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-24","80","90","73"
"USW00013829","FORT BENNING LAWSON FIELD, GA US","2025-08-25","74",,
